SRR11212895	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/095/SRR11212895/SRR11212895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/095/SRR11212895/SRR11212895_2.fastq.gz	88303590;90087782	1187827
SRR11212896	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/096/SRR11212896/SRR11212896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/096/SRR11212896/SRR11212896_2.fastq.gz	116682794;118793511	1553419
SRR11212897	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/097/SRR11212897/SRR11212897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/097/SRR11212897/SRR11212897_2.fastq.gz	80383979;81931941	1064280
SRR11212898	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/098/SRR11212898/SRR11212898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/098/SRR11212898/SRR11212898_2.fastq.gz	39329033;40497869	619438
SRR11212899	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/099/SRR11212899/SRR11212899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/099/SRR11212899/SRR11212899_2.fastq.gz	28215312;28782345	448378
SRR11212900	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/000/SRR11212900/SRR11212900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/000/SRR11212900/SRR11212900_2.fastq.gz	15576714;15969573	248229
SRR11212901	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/001/SRR11212901/SRR11212901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/001/SRR11212901/SRR11212901_2.fastq.gz	33210149;34327135	536235
SRR11212902	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/002/SRR11212902/SRR11212902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/002/SRR11212902/SRR11212902_2.fastq.gz	18519816;19059978	294593
SRR11212903	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/003/SRR11212903/SRR11212903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/003/SRR11212903/SRR11212903_2.fastq.gz	39736151;41404194	511692
SRR11212904	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/004/SRR11212904/SRR11212904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/004/SRR11212904/SRR11212904_2.fastq.gz	63179105;66461816	830340
